column_1,column_2,column_3,column_4,column_5
421,Elizabeth Martin,Professor,Psychology,UC Irvine
422,Hannah Hausman,Assistant Professor,Psychology,UC Santa Cruz
423,Anil B. Deolalikar,Professor,Economics,UC Riverside
424,Jay Chok,Lecturer,Anderson School of Management,UC Riverside
425,William Fleming,Associate Professor,East Asian Languages and Cultural Studies,UC Santa Barbara
426,Steven Brint,Distinguished Professor,Sociology,UC Riverside
427,Donald Wittman,Emeritus Professor,Economics,UC Santa Cruz
428,Allison Hedge Coke,Distinguished Professor,CRWT,UC Riverside
429,Nicolas Davidenko,Professor,Psychology,UC Santa Cruz
430,Harold Marcuse,Professor emeritus,History,UC Santa Barbara
431,Bruce Hayes,Emeritus Distinguished Professor,Linguistics,UCLA
432,Michael McBride,Professor,Economics,UC Irvine
433,Erich Reck,Professor,Philosophy,UC Riverside
434,Mehdi Nemati,Assistant Professor,School of public policy,UC Riverside
435,"Barb J. Heine, Ph.D.",Senior Lecturer,Psychology,UC Irvine
436,Mark Fathi Massoud,Professor and Chair,Politics,UC Santa Cruz
437,Kurt Schwabe,Professor,School of Public Policy,UC Riverside
438,Antoine Lentacker,Associate Professor,History,UC Riverside
439,Olav Sorenson,Professor,Management,UCLA
440,Romain Wacziarg,Professor,Anderson Graduate School of Management,UCLA
441,Ashvin Gandhi,Assistant Professor,Anderson School of Management,UCLA
