column_1,column_2,column_3,column_4,column_5
400,Michael Zhang,Professir,Civil and Environmental Engineering,UC Davis
401,Claude F. Meares,"Distinguished Professor, emeritus",Chemistry,UC Davis
402,Andrew J. Fisher,Professor,Chemistry and Mol. Cell. Biol.,UC Davis
403,Qiang Zhu,Professor,Structural Engineering,UC San Diego
404,Mark Mascal,Professor,Chemistry,UC Davis
405,Steven Ross Murray,Director and Professor of Teaching,Division of Biological Sciences: Physical Education,UC Berkeley
406,Zhijia Zhao,Associate Professor,Computer Science and Engineering,UC Riverside
407,Theodore Holman,Professor,Chemistry,UC Santa Cruz
408,Gregory Pasternack,Professor,"Land, Air, and Water Resources",UC Davis
409,Qing Zhou,Professor and Chair,Statistics and Data Science,UCLA
410,Tamar Shinar,Associate Professor,Computer Science and Engineering,UC Riverside
411,Tengiz Bibilashvili,Teaching Professor,Physics,UC Santa Barbara
412,Yu Qiao,Professor,Structural Engineering,UC San Diego
413,Francisco Contijoch,Associate Professor,Bioengineering,UC San Diego
414,Eric Gans,Distinguished Professor Emeritus,French (ELTS),UCLA
415,Sydney Glassman,Associate Professor,Microbiology and Plant Pathology,UC Riverside
416,Yueyue Fan,Professor,Civil and Environmental Engineering,UC Davis
417,Moritz Meyer-ter-Vehn,Professor,Economics,UCLA
418,Glenn L. Millhauser,Professor,Chemistry & Biochemistry,UC Santa Cruz
419,Duygu Kuzum,Professor,Electrical and Computer Engineering,UC San Diego
420,Vera Serganova,Professor,Mathematics,UC Berkeley
421,David Kliger,Distinguished Professor Emeritus,Chemistry and Biochemistry,UC Santa Cruz
422,H Alicia Kim,Professor,Structural Engineering,UC San Diego
423,Ran Cheng,Associate Professor,Electrical and Computer Engineering,UC Riverside
